,0,1,2,3,4,5,6,7,8,9
200_prims_4_seed_test,0.6666666666666666,0.625,0.6666666666666666,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.6666666666666666,0.8333333333333334,0.75,0.8333333333333334
300_prims_0_seed_train,0.5027777777777778,0.5333333333333333,0.515,0.5016666666666667,0.5033333333333333,0.49722222222222223,0.48833333333333334,0.5194444444444445,0.4872222222222222,0.5022222222222222
300_prims_0_seed_test,0.8333333333333334,0.9166666666666666,0.9166666666666666,0.875,0.9166666666666666,0.875,0.9166666666666666,0.9166666666666666,0.875,0.875
300_prims_1_seed_train,0.42055555555555557,0.4216666666666667,0.4211111111111111,0.42388888888888887,0.4122222222222222,0.42833333333333334,0.4027777777777778,0.40944444444444444,0.4022222222222222,0.4211111111111111
300_prims_1_seed_test,1.0,1.0,0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9166666666666666,1.0,0.9583333333333334,0.875,0.9166666666666666
300_prims_2_seed_train,0.4888888888888889,0.49444444444444446,0.45222222222222225,0.49777777777777776,0.5038888888888889,0.49333333333333335,0.5094444444444445,0.49722222222222223,0.49166666666666664,0.4938888888888889
300_prims_2_seed_test,0.8333333333333334,0.625,0.7916666666666666,0.7916666666666666,0.6666666666666666,0.7916666666666666,0.7916666666666666,0.8333333333333334,0.9166666666666666,0.8333333333333334
300_prims_3_seed_train,0.4172222222222222,0.4116666666666667,0.40944444444444444,0.4261111111111111,0.41833333333333333,0.42777777777777776,0.4272222222222222,0.44555555555555554,0.44555555555555554,0.4027777777777778
300_prims_3_seed_test,0.875,0.7083333333333334,0.7083333333333334,0.6666666666666666,0.75,0.75,0.7916666666666666,0.7916666666666666,0.75,0.7083333333333334
300_prims_4_seed_train,0.5305555555555556,0.5522222222222222,0.4816666666666667,0.5172222222222222,0.5194444444444445,0.4872222222222222,0.49166666666666664,0.5083333333333333,0.5133333333333333,0.5083333333333333
300_prims_4_seed_test,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.9166666666666666,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9166666666666666,0.7916666666666666,0.875
400_prims_0_seed_train,0.4741666666666667,0.45625,0.4608333333333333,0.4508333333333333,0.45416666666666666,0.44916666666666666,0.43375,0.46708333333333335,0.44458333333333333,0.44166666666666665
400_prims_0_seed_test,0.8333333333333334,0.875,0.9166666666666666,0.9583333333333334,0.7916666666666666,0.9583333333333334,0.875,0.9583333333333334,0.9583333333333334,0.75
400_prims_1_seed_train,0.3754166666666667,0.41041666666666665,0.40708333333333335,0.3770833333333333,0.38625,0.3958333333333333,0.37,0.3620833333333333,0.36541666666666667,0.3854166666666667
