,0,1,2,3,4,5,6,7,8,9
300_prims_0_seed_train,0.48333333333333334,0.5305555555555556,0.5194444444444445,0.5155555555555555,0.5172222222222222,0.4761111111111111,0.48944444444444446,0.49166666666666664,0.485,0.5266666666666666
300_prims_0_seed_test,0.75,0.875,0.9583333333333334,0.875,0.9583333333333334,0.8333333333333334,0.9583333333333334,0.7916666666666666,0.9166666666666666,0.9166666666666666
300_prims_1_seed_train,0.41333333333333333,0.41388888888888886,0.38222222222222224,0.41,0.41388888888888886,0.3933333333333333,0.42944444444444446,0.41444444444444445,0.40444444444444444,0.43777777777777777
300_prims_1_seed_test,0.9166666666666666,0.875,1.0,0.9166666666666666,0.9166666666666666,0.875,0.8333333333333334,0.875,0.875,0.9166666666666666
300_prims_2_seed_train,0.49333333333333335,0.4855555555555556,0.48777777777777775,0.4716666666666667,0.5066666666666667,0.4716666666666667,0.485,0.48388888888888887,0.495,0.4777777777777778
300_prims_2_seed_test,0.8333333333333334,0.8333333333333334,0.75,0.9166666666666666,0.7916666666666666,0.7083333333333334,0.875,0.875,0.7916666666666666,0.8333333333333334
300_prims_3_seed_train,0.395,0.43944444444444447,0.4088888888888889,0.43833333333333335,0.44333333333333336,0.415,0.42333333333333334,0.44333333333333336,0.40555555555555556,0.43555555555555553
300_prims_3_seed_test,0.7083333333333334,0.7083333333333334,0.75,0.8333333333333334,0.8333333333333334,0.875,0.75,0.7916666666666666,0.7083333333333334,0.6666666666666666
300_prims_4_seed_train,0.5538888888888889,0.5483333333333333,0.5277777777777778,0.505,0.4627777777777778,0.5105555555555555,0.5066666666666667,0.5133333333333333,0.4766666666666667,0.5166666666666667
300_prims_4_seed_test,0.875,0.9583333333333334,0.9583333333333334,0.75,0.875,1.0,1.0,0.9166666666666666,0.9583333333333334,1.0
